"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"REQ-010","P0","1","both","需求来源清单化","建立需求来源索引，覆盖 plan/、docs/plan-prd/、issues/、工程规范与 AGENTS.md，并确认 core-app 相关的潜在隐藏入口。","输出可追踪的需求来源清单，至少包含 plan/、docs/plan-prd/、issues/、docs/engineering/monorepo-standards.md、AGENTS.md，并注明是否存在额外入口。","AUTOSERVER","核对来源列表是否覆盖关键目录与现有规范，避免遗漏或重复路径。","抽样检查后续新增来源能否按清单被补录，来源索引仍可定位。","已完成","已完成","已完成","已提交","","apps/core-app/plan/2026-01-21_14-50-21-requirements-consolidation.md:17;apps/core-app/docs/requirements/requirements-sources.md:1","picked_reason:P0 基础输入清单是后续抽取与对齐的前置 | done_at:2026-01-21;evidence:requirements-sources.md created | doc_update:last-updated added"
"REQ-020","P0","2","both","统一需求抽取模板","定义统一字段与编号规则，确保跨文档抽取一致可对齐。","模板字段包含 ID、标题、描述、优先级、范围、平台差异、依赖、验收标准、来源链接、当前状态，并明确编号规则与插入策略。","AUTOSERVER","确认模板字段能覆盖所有现有文档类型且不引入冗余字段。","抽样对多类文档复用模板，验证字段填充一致性。","未开始","未开始","未开始","未提交","","apps/core-app/plan/2026-01-21_14-50-21-requirements-consolidation.md:20",""
"REQ-030","P1","3","both","逐文档结构化抽取","按文档类型抽取需求并保留原文引用，形成结构化清单。","完成对 plan/、PRD、issues、规范/约束的结构化抽取，且每条需求包含原文引用与来源路径。","AUTOSERVER","检查抽取规则是否稳定，原文引用是否能直接定位到来源。","抽样验证多条需求的来源链接可追溯且无缺失。","未开始","未开始","未开始","未提交","","apps/core-app/plan/2026-01-21_14-50-21-requirements-consolidation.md:22",""
"REQ-040","P1","4","both","去重与冲突清单","合并重复需求并记录差异，输出待澄清冲突清单。","生成冲突清单并标注冲突类型与来源；重复需求合并后仍保留差异说明。","AUTOSERVER","确认冲突判定标准清晰且不误删差异需求。","复核合并记录，确保关键差异仍可追溯。","未开始","未开始","未开始","未提交","","apps/core-app/plan/2026-01-21_14-50-21-requirements-consolidation.md:24",""
"REQ-050","P1","5","both","需求分组与标签化","按系统域与跨域标签对需求分组，提升检索与执行顺序编排能力。","需求清单包含系统域分组与跨域标签（性能/权限/兼容性/可观测性等），并可追溯至原始需求。","AUTOSERVER","检查分组与标签口径统一，避免同类需求拆分过细。","抽样复核分组与标签映射的稳定性。","未开始","未开始","未开始","未提交","","apps/core-app/plan/2026-01-21_14-50-21-requirements-consolidation.md:26",""
"REQ-060","P1","6","both","现状与缺口对齐","为每条需求标注完成度并关联现有实现或缺失点证据。","需求-实现对照表中每条需求都有完成度与至少一个实现/缺口证据路径。","AUTOSERVER","确认完成度判定标准一致，证据路径可直接定位。","抽样检查证据路径准确且与需求一致。","未开始","未开始","未开始","未提交","","apps/core-app/plan/2026-01-21_14-50-21-requirements-consolidation.md:28",""
"REQ-070","P0","7","both","依赖与执行顺序编排","建立依赖关系并输出线性执行顺序与阶段里程碑。","输出包含依赖矩阵与执行顺序的版本，明确基础能力→迁移改造→文档验证→收尾的阶段划分。","AUTOSERVER","检查依赖关系是否覆盖跨模块前置条件，避免顺序冲突。","复核执行顺序与里程碑可操作且无循环依赖。","未开始","未开始","未开始","未提交","","apps/core-app/plan/2026-01-21_14-50-21-requirements-consolidation.md:30",""
"REQ-080","P0","8","both","统一需求文档生成","生成统一需求总表文档，覆盖范围、索引、清单、顺序、风险与验收。","发布一份统一需求文档，包含范围说明、来源索引、需求清单、执行顺序、依赖矩阵、风险与待澄清问题、验收标准。","AUTOSERVER","确认文档结构与字段完整，且引用路径可跳转。","抽样检查文档内容与抽取清单一致。","未开始","未开始","未开始","未提交","","apps/core-app/plan/2026-01-21_14-50-21-requirements-consolidation.md:32",""
"REQ-090","P1","9","both","评审与拆分确认","组织评审确认优先级与顺序，必要时拆分为可执行子任务。","评审记录明确冲突处理结论、优先级与执行顺序，并形成可执行子任务或 issue 列表。","AUTOSERVER","确认评审结果可追溯且有明确负责人指派入口。","复核评审记录与执行清单一致。","未开始","未开始","未开始","未提交","","apps/core-app/plan/2026-01-21_14-50-21-requirements-consolidation.md:34",""
"REQ-100","P2","10","both","维护机制与归档流程","建立新增需求的归档与同步流程，避免需求再次分散。","形成维护流程说明，包含新增需求登记、文档更新与状态同步步骤。","AUTOSERVER","确认维护流程可由非开发角色执行且不依赖隐式步骤。","抽样验证新增需求可按流程进入统一文档。","未开始","未开始","未开始","未提交","","apps/core-app/plan/2026-01-21_14-50-21-requirements-consolidation.md:35",""
